;Comuna;Educacion;Etnia;Sexo;Freq;anio;codigo;;
26;alto biobío;trabaja o busca trabajo;mapuche;hombre;446;2011;8314;;
27;alto biobío;no le interesa;no pertenece a ningún pueblo indígena;mujer;9;2011;8314;;
28;alto biobío;terminó estudiar;mapuche;hombre;111;2011;8314;;
29;alto biobío;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;50;2011;8314;;
30;alto biobío;embarazo, maternidad o paternidad;mapuche;mujer;319;2011;8314;;
31;alto biobío;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;68;2011;8314;;
32;alto biobío;trabaja o busca trabajo;mapuche;mujer;70;2011;8314;;
33;alto biobío;a su edad no le sirve estudiar o no conoce la manera;mapuche;hombre;86;2011;8314;;
34;alto biobío;a su edad no le sirve estudiar o no conoce la manera;mapuche;mujer;43;2011;8314;;
35;alto biobío;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;48;2011;8314;;
36;alto biobío;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;14;2011;8314;;
37;alto biobío;ayuda en la casa o quehaceres del hogar;mapuche;mujer;86;2011;8314;;
38;alto biobío;no le interesa;no pertenece a ningún pueblo indígena;hombre;9;2011;8314;;
39;alto del carmen;ayuda en la casa o quehaceres del hogar;diaguita;mujer;88;2011;3302;;
40;alto del carmen;terminó estudiar;diaguita;hombre;37;2011;3302;;
41;alto del carmen;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;101;2011;3302;;
42;alto del carmen;trabaja o busca trabajo;diaguita;mujer;27;2011;3302;;
43;alto del carmen;trabaja o busca trabajo;diaguita;hombre;55;2011;3302;;
44;alto del carmen;otra razón;no pertenece a ningún pueblo indígena;mujer;22;2011;3302;;
45;alto del carmen;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;72;2011;3302;;
46;alto del carmen;dificultad económica;no pertenece a ningún pueblo indígena;hombre;13;2011;3302;;
47;alto del carmen;no le interesa;no pertenece a ningún pueblo indígena;hombre;6;2011;3302;;
48;alto del carmen;problemas familiares;no pertenece a ningún pueblo indígena;mujer;9;2011;3302;;
49;alto del carmen;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;31;2011;3302;;
50;alto del carmen;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;70;2011;3302;;
51;alto del carmen;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;17;2011;3302;;
52;alto del carmen;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;168;2011;3302;;
53;alto del carmen;enfermedad que lo inhabilita;diaguita;hombre;9;2011;3302;;
54;alto hospicio;trabaja o busca trabajo;aymara;mujer;481;2011;1107;;
55;alto hospicio;dificultad económica;aymara;mujer;131;2011;1107;;
56;alto hospicio;embarazo, maternidad o paternidad;atacameño (likán antai);mujer;19;2011;1107;;
57;alto hospicio;problemas de rendimiento;aymara;hombre;29;2011;1107;;
58;alto hospicio;tiene una discapacidad,  necesita establecimiento especial;no pertenece a ningún pueblo indígena;mujer;42;2011;1107;;
59;alto hospicio;no le interesa;no pertenece a ningún pueblo indígena;hombre;272;2011;1107;;
60;alto hospicio;dificultad económica;no pertenece a ningún pueblo indígena;mujer;119;2011;1107;;
61;alto hospicio;no le interesa;no pertenece a ningún pueblo indígena;mujer;125;2011;1107;;
62;alto hospicio;dificultad económica;diaguita;mujer;24;2011;1107;;
63;alto hospicio;otra razón;no pertenece a ningún pueblo indígena;hombre;174;2011;1107;;
64;alto hospicio;terminó estudiar;mapuche;mujer;325;2011;1107;;
65;alto hospicio;embarazo, maternidad o paternidad;aymara;mujer;165;2011;1107;;
66;alto hospicio;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;1376;2011;1107;;
67;alto hospicio;terminó estudiar;aymara;hombre;348;2011;1107;;
68;alto hospicio;expulsión o cancelación de matrícula;no pertenece a ningún pueblo indígena;hombre;48;2011;1107;;
69;alto hospicio;dificultad de acceso o movilización;no pertenece a ningún pueblo indígena;mujer;8;2011;1107;;
70;alto hospicio;ayuda en la casa o quehaceres del hogar;aymara;mujer;99;2011;1107;;
71;alto hospicio;terminó estudiar;quechua;hombre;9;2011;1107;;
72;alto hospicio;terminó estudiar;diaguita;hombre;23;2011;1107;;
73;alto hospicio;terminó estudiar;quechua;mujer;9;2011;1107;;
74;alto hospicio;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;hombre;26;2011;1107;;
75;alto hospicio;ayuda en la casa o quehaceres del hogar;quechua;mujer;18;2011;1107;;
76;alto hospicio;embarazo, maternidad o paternidad;aymara;hombre;21;2011;1107;;
77;alto hospicio;problemas familiares;aymara;mujer;52;2011;1107;;
78;alto hospicio;problemas de rendimiento;no pertenece a ningún pueblo indígena;hombre;19;2011;1107;;
79;alto hospicio;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;1017;2011;1107;;
80;alto hospicio;otra razón;no pertenece a ningún pueblo indígena;mujer;109;2011;1107;;
81;alto hospicio;problemas familiares;no pertenece a ningún pueblo indígena;mujer;47;2011;1107;;
82;alto hospicio;expulsión o cancelación de matrícula;no pertenece a ningún pueblo indígena;mujer;9;2011;1107;;
83;alto hospicio;dificultad económica;no pertenece a ningún pueblo indígena;hombre;187;2011;1107;;
84;alto hospicio;embarazo, maternidad o paternidad;diaguita;mujer;16;2011;1107;;
85;alto hospicio;ayuda en la casa o quehaceres del hogar;mapuche;mujer;44;2011;1107;;
86;alto hospicio;no le interesa;aymara;hombre;148;2011;1107;;
87;alto hospicio;embarazo, maternidad o paternidad;mapuche;mujer;21;2011;1107;;
88;alto hospicio;trabaja o busca trabajo;atacameño (likán antai);mujer;24;2011;1107;;
89;alto hospicio;enfermedad que lo inhabilita;aymara;hombre;10;2011;1107;;
90;alto hospicio;trabaja o busca trabajo;diaguita;hombre;23;2011;1107;;
91;alto hospicio;no le interesa;aymara;mujer;87;2011;1107;;
92;alto hospicio;dificultad económica;atacameño (likán antai);hombre;14;2011;1107;;
93;alto hospicio;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;1759;2011;1107;;
94;alto hospicio;a su edad no le sirve estudiar o no conoce la manera;aymara;mujer;7;2011;1107;;
95;alto hospicio;tiene una discapacidad,  necesita establecimiento especial;no pertenece a ningún pueblo indígena;hombre;22;2011;1107;;
96;alto hospicio;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;1918;2011;1107;;
97;alto hospicio;terminó estudiar;mapuche;hombre;25;2011;1107;;
98;alto hospicio;otra razón;aymara;mujer;9;2011;1107;;
99;alto hospicio;terminó estudiar;aymara;mujer;256;2011;1107;;
100;alto hospicio;problemas familiares;no pertenece a ningún pueblo indígena;hombre;15;2011;1107;;
101;alto hospicio;embarazo, maternidad o paternidad;quechua;mujer;20;2011;1107;;
102;alto hospicio;dificultad de acceso o movilización;aymara;hombre;7;2011;1107;;
103;alto hospicio;enfermedad que lo inhabilita;no pertenece a ningún pueblo indígena;hombre;38;2011;1107;;
104;alto hospicio;trabaja o busca trabajo;quechua;hombre;20;2011;1107;;
105;alto hospicio;problemas de rendimiento;no pertenece a ningún pueblo indígena;mujer;28;2011;1107;;
106;alto hospicio;trabaja o busca trabajo;aymara;hombre;599;2011;1107;;
107;alto hospicio;dificultad económica;mapuche;hombre;8;2011;1107;;
108;alto hospicio;trabaja o busca trabajo;quechua;mujer;28;2011;1107;;
109;alto hospicio;trabaja o busca trabajo;mapuche;mujer;184;2011;1107;;
110;alto hospicio;problemas familiares;aymara;hombre;8;2011;1107;;
111;alto hospicio;enfermedad que lo inhabilita;no pertenece a ningún pueblo indígena;mujer;34;2011;1107;;
112;alto hospicio;otra razón;quechua;hombre;18;2011;1107;;
113;alto hospicio;dificultad de acceso o movilización;no pertenece a ningún pueblo indígena;hombre;8;2011;1107;;
114;alto hospicio;dificultad económica;diaguita;hombre;8;2011;1107;;
115;alto hospicio;trabaja o busca trabajo;mapuche;hombre;112;2011;1107;;
116;alto hospicio;dificultad económica;aymara;hombre;35;2011;1107;;
117;alto hospicio;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;2565;2011;1107;;
118;alto hospicio;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;3557;2011;1107;;
119;alto hospicio;problemas de rendimiento;aymara;mujer;25;2011;1107;;
120;alto hospicio;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;hombre;69;2011;1107;;
121;ancud;enfermedad que lo inhabilita;no pertenece a ningún pueblo indígena;mujer;23;2011;10202;;
122;ancud;problemas de rendimiento;mapuche;mujer;46;2011;10202;;
123;ancud;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;hombre;75;2011;10202;;
124;ancud;dificultad económica;no pertenece a ningún pueblo indígena;hombre;174;2011;10202;;
125;ancud;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;218;2011;10202;;
126;ancud;embarazo, maternidad o paternidad;mapuche;mujer;55;2011;10202;;
127;ancud;dificultad económica;mapuche;hombre;127;2011;10202;;
128;ancud;problemas de rendimiento;mapuche;hombre;26;2011;10202;;
129;ancud;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;281;2011;10202;;
130;ancud;problemas familiares;no pertenece a ningún pueblo indígena;mujer;46;2011;10202;;
131;ancud;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;1278;2011;10202;;
132;ancud;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;465;2011;10202;;
133;ancud;dificultad económica;no pertenece a ningún pueblo indígena;mujer;166;2011;10202;;
134;ancud;otra razón;no pertenece a ningún pueblo indígena;hombre;26;2011;10202;;
135;ancud;tiene una discapacidad,  necesita establecimiento especial;no pertenece a ningún pueblo indígena;mujer;32;2011;10202;;
136;ancud;ayuda en la casa o quehaceres del hogar;mapuche;mujer;21;2011;10202;;
137;ancud;otra razón;no pertenece a ningún pueblo indígena;mujer;35;2011;10202;;
138;ancud;no le interesa;no pertenece a ningún pueblo indígena;hombre;51;2011;10202;;
139;ancud;terminó estudiar;mapuche;mujer;250;2011;10202;;
140;ancud;tiene una discapacidad,  necesita establecimiento especial;no pertenece a ningún pueblo indígena;hombre;23;2011;10202;;
141;ancud;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;978;2011;10202;;
142;ancud;terminó estudiar;mapuche;hombre;70;2011;10202;;
143;ancud;trabaja o busca trabajo;mapuche;hombre;351;2011;10202;;
144;ancud;tiene una discapacidad,  necesita establecimiento especial;mapuche;mujer;30;2011;10202;;
145;ancud;no le interesa;no pertenece a ningún pueblo indígena;mujer;149;2011;10202;;
146;ancud;expulsión o cancelación de matrícula;no pertenece a ningún pueblo indígena;hombre;23;2011;10202;;
147;ancud;dificultad económica;mapuche;mujer;71;2011;10202;;
148;ancud;trabaja o busca trabajo;mapuche;mujer;181;2011;10202;;
149;ancud;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;306;2011;10202;;
150;andacollo;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;166;2011;4103;;
151;andacollo;dificultad económica;no pertenece a ningún pueblo indígena;hombre;54;2011;4103;;
152;andacollo;no le interesa;no pertenece a ningún pueblo indígena;mujer;26;2011;4103;;
153;andacollo;tiene una discapacidad,  necesita establecimiento especial;no pertenece a ningún pueblo indígena;mujer;4;2011;4103;;
154;andacollo;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;288;2011;4103;;
155;andacollo;no le interesa;no pertenece a ningún pueblo indígena;hombre;19;2011;4103;;
156;andacollo;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;hombre;28;2011;4103;;
157;andacollo;otra razón;no pertenece a ningún pueblo indígena;hombre;14;2011;4103;;
158;andacollo;dificultad económica;no pertenece a ningún pueblo indígena;mujer;25;2011;4103;;
159;andacollo;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;198;2011;4103;;
160;andacollo;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;286;2011;4103;;
161;andacollo;trabaja o busca trabajo;mapuche;hombre;28;2011;4103;;
162;andacollo;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;275;2011;4103;;
163;andacollo;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;28;2011;4103;;
164;angol;problemas de rendimiento;mapuche;hombre;37;2011;9201;;
165;angol;terminó estudiar;mapuche;hombre;49;2011;9201;;
166;angol;terminó estudiar;mapuche;mujer;162;2011;9201;;
167;angol;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;698;2011;9201;;
168;angol;trabaja o busca trabajo;mapuche;mujer;139;2011;9201;;
169;angol;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;846;2011;9201;;
170;angol;dificultad económica;no pertenece a ningún pueblo indígena;mujer;24;2011;9201;;
171;angol;no le interesa;no pertenece a ningún pueblo indígena;hombre;69;2011;9201;;
172;angol;dificultad económica;no pertenece a ningún pueblo indígena;hombre;37;2011;9201;;
173;angol;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;267;2011;9201;;
174;angol;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;1234;2011;9201;;
175;angol;dificultad económica;mapuche;hombre;102;2011;9201;;
176;angol;no le interesa;no pertenece a ningún pueblo indígena;mujer;109;2011;9201;;
177;angol;problemas de rendimiento;no pertenece a ningún pueblo indígena;hombre;135;2011;9201;;
178;angol;tiene una discapacidad,  necesita establecimiento especial;no pertenece a ningún pueblo indígena;hombre;54;2011;9201;;
179;angol;dificultad económica;mapuche;mujer;42;2011;9201;;
180;angol;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;hombre;37;2011;9201;;
181;angol;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;107;2011;9201;;
182;angol;otra razón;mapuche;mujer;21;2011;9201;;
183;angol;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;1255;2011;9201;;
184;angol;ayuda en la casa o quehaceres del hogar;mapuche;mujer;84;2011;9201;;
185;angol;embarazo, maternidad o paternidad;mapuche;hombre;34;2011;9201;;
186;angol;trabaja o busca trabajo;mapuche;hombre;300;2011;9201;;
187;antofagasta;a su edad no le sirve estudiar o no conoce la manera;no pertenece a ningún pueblo indígena;hombre;128;2011;2101;;
188;antofagasta;dificultad económica;diaguita;mujer;30;2011;2101;;
189;antofagasta;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;9062;2011;2101;;
190;antofagasta;tiene una discapacidad,  necesita establecimiento especial;no pertenece a ningún pueblo indígena;mujer;120;2011;2101;;
191;antofagasta;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;5062;2011;2101;;
192;antofagasta;terminó estudiar;aymara;mujer;57;2011;2101;;
193;antofagasta;ayuda en la casa o quehaceres del hogar;atacameño (likán antai);mujer;26;2011;2101;;
194;antofagasta;dificultad económica;no pertenece a ningún pueblo indígena;mujer;1080;2011;2101;;
195;antofagasta;terminó estudiar;mapuche;hombre;182;2011;2101;;
196;antofagasta;ayuda en la casa o quehaceres del hogar;aymara;mujer;29;2011;2101;;
197;antofagasta;enfermedad que lo inhabilita;aymara;mujer;14;2011;2101;;
198;antofagasta;trabaja o busca trabajo;diaguita;mujer;54;2011;2101;;
199;antofagasta;otra razón;no pertenece a ningún pueblo indígena;hombre;1824;2011;2101;;
200;antofagasta;embarazo, maternidad o paternidad;mapuche;mujer;111;2011;2101;;
201;antofagasta;trabaja o busca trabajo;rapa nui (pascuense);hombre;16;2011;2101;;
202;antofagasta;trabaja o busca trabajo;aymara;hombre;99;2011;2101;;
203;antofagasta;a su edad no le sirve estudiar o no conoce la manera;no pertenece a ningún pueblo indígena;mujer;69;2011;2101;;
204;antofagasta;no le interesa;no pertenece a ningún pueblo indígena;hombre;927;2011;2101;;
205;antofagasta;terminó estudiar;atacameño (likán antai);mujer;96;2011;2101;;
206;antofagasta;dificultad de acceso o movilización;no pertenece a ningún pueblo indígena;mujer;24;2011;2101;;
207;antofagasta;no le interesa;diaguita;mujer;18;2011;2101;;
208;antofagasta;dificultad económica;aymara;hombre;13;2011;2101;;
209;antofagasta;embarazo, maternidad o paternidad;aymara;mujer;22;2011;2101;;
210;antofagasta;terminó estudiar;quechua;hombre;29;2011;2101;;
211;antofagasta;a su edad no le sirve estudiar o no conoce la manera;diaguita;hombre;22;2011;2101;;
212;antofagasta;otra razón;no pertenece a ningún pueblo indígena;mujer;2518;2011;2101;;
213;antofagasta;dificultad económica;mapuche;hombre;62;2011;2101;;
214;antofagasta;trabaja o busca trabajo;quechua;hombre;12;2011;2101;;
215;antofagasta;terminó estudiar;diaguita;hombre;41;2011;2101;;
216;antofagasta;enfermedad que lo inhabilita;atacameño (likán antai);hombre;17;2011;2101;;
217;antofagasta;trabaja o busca trabajo;atacameño (likán antai);mujer;45;2011;2101;;
218;antofagasta;trabaja o busca trabajo;coya;hombre;33;2011;2101;;
219;antofagasta;enfermedad que lo inhabilita;diaguita;hombre;12;2011;2101;;
220;antofagasta;terminó estudiar;diaguita;mujer;70;2011;2101;;
221;antofagasta;tiene una discapacidad,  necesita establecimiento especial;no pertenece a ningún pueblo indígena;hombre;55;2011;2101;;
222;antofagasta;ayuda en la casa o quehaceres del hogar;diaguita;mujer;22;2011;2101;;
223;antofagasta;trabaja o busca trabajo;diaguita;hombre;78;2011;2101;;
224;antofagasta;no le interesa;no pertenece a ningún pueblo indígena;mujer;639;2011;2101;;
225;antofagasta;enfermedad que lo inhabilita;mapuche;mujer;30;2011;2101;;
226;antofagasta;no le interesa;diaguita;hombre;18;2011;2101;;
227;antofagasta;problemas familiares;no pertenece a ningún pueblo indígena;hombre;212;2011;2101;;
228;antofagasta;problemas de rendimiento;mapuche;hombre;37;2011;2101;;
229;antofagasta;terminó estudiar;mapuche;mujer;89;2011;2101;;
230;antofagasta;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;8535;2011;2101;;
231;antofagasta;ayuda en la casa o quehaceres del hogar;mapuche;mujer;22;2011;2101;;
232;antofagasta;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;hombre;194;2011;2101;;
233;antofagasta;problemas de rendimiento;mapuche;mujer;62;2011;2101;;
234;antofagasta;problemas de rendimiento;no pertenece a ningún pueblo indígena;hombre;138;2011;2101;;
235;antofagasta;trabaja o busca trabajo;coya;mujer;61;2011;2101;;
236;antofagasta;problemas familiares;mapuche;mujer;23;2011;2101;;
237;antofagasta;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;18294;2011;2101;;
238;antofagasta;trabaja o busca trabajo;mapuche;mujer;191;2011;2101;;
239;antofagasta;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;8840;2011;2101;;
240;antofagasta;embarazo, maternidad o paternidad;atacameño (likán antai);mujer;16;2011;2101;;
241;antofagasta;trabaja o busca trabajo;aymara;mujer;45;2011;2101;;
242;antofagasta;expulsión o cancelación de matrícula;no pertenece a ningún pueblo indígena;hombre;42;2011;2101;;
243;antofagasta;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;3733;2011;2101;;
244;antofagasta;enfermedad que lo inhabilita;no pertenece a ningún pueblo indígena;hombre;233;2011;2101;;
245;antofagasta;otra razón;atacameño (likán antai);mujer;25;2011;2101;;
246;antofagasta;trabaja o busca trabajo;mapuche;hombre;68;2011;2101;;
247;antofagasta;problemas de rendimiento;no pertenece a ningún pueblo indígena;mujer;74;2011;2101;;
248;antofagasta;terminó estudiar;atacameño (likán antai);hombre;70;2011;2101;;
249;antofagasta;problemas familiares;no pertenece a ningún pueblo indígena;mujer;360;2011;2101;;
250;antofagasta;dificultad económica;no pertenece a ningún pueblo indígena;hombre;875;2011;2101;;
251;antofagasta;otra razón;mapuche;hombre;31;2011;2101;;
252;antofagasta;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;hombre;223;2011;2101;;
253;antofagasta;dificultad de acceso o movilización;atacameño (likán antai);hombre;54;2011;2101;;
254;antofagasta;trabaja o busca trabajo;atacameño (likán antai);hombre;44;2011;2101;;
255;antofagasta;terminó estudiar;quechua;mujer;59;2011;2101;;
256;antofagasta;terminó estudiar;aymara;hombre;26;2011;2101;;
257;antofagasta;enfermedad que lo inhabilita;no pertenece a ningún pueblo indígena;mujer;89;2011;2101;;
258;antuco;trabaja o busca trabajo;mapuche;mujer;13;2011;8302;;
259;antuco;dificultad económica;no pertenece a ningún pueblo indígena;mujer;57;2011;8302;;
260;antuco;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;70;2011;8302;;
261;antuco;otra razón;no pertenece a ningún pueblo indígena;mujer;19;2011;8302;;
262;antuco;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;155;2011;8302;;
263;antuco;trabaja o busca trabajo;mapuche;hombre;12;2011;8302;;
264;antuco;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;10;2011;8302;;
265;antuco;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;65;2011;8302;;
266;antuco;dificultad económica;no pertenece a ningún pueblo indígena;hombre;67;2011;8302;;
267;arauco;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;1619;2011;8202;;
268;arauco;trabaja o busca trabajo;mapuche;hombre;216;2011;8202;;
269;arauco;trabaja o busca trabajo;mapuche;mujer;204;2011;8202;;
270;arauco;otra razón;no pertenece a ningún pueblo indígena;mujer;72;2011;8202;;
271;arauco;enfermedad que lo inhabilita;no pertenece a ningún pueblo indígena;hombre;129;2011;8202;;
272;arauco;otra razón;mapuche;hombre;58;2011;8202;;
273;arauco;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;697;2011;8202;;
274;arauco;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;837;2011;8202;;
275;arauco;no le interesa;no pertenece a ningún pueblo indígena;hombre;91;2011;8202;;
276;arauco;dificultad económica;no pertenece a ningún pueblo indígena;mujer;276;2011;8202;;
277;arauco;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;1231;2011;8202;;
278;arauco;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;289;2011;8202;;
279;arauco;terminó estudiar;mapuche;mujer;352;2011;8202;;
280;arauco;embarazo, maternidad o paternidad;yagán (yámana);mujer;73;2011;8202;;
281;arauco;otra razón;no pertenece a ningún pueblo indígena;hombre;293;2011;8202;;
282;arauco;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;242;2011;8202;;
283;arica;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;871;2011;15101;;
284;arica;a su edad no le sirve estudiar o no conoce la manera;mapuche;hombre;9;2011;15101;;
285;arica;a su edad no le sirve estudiar o no conoce la manera;no pertenece a ningún pueblo indígena;hombre;47;2011;15101;;
286;arica;trabaja o busca trabajo;quechua;mujer;34;2011;15101;;
287;arica;embarazo, maternidad o paternidad;quechua;mujer;17;2011;15101;;
288;arica;dificultad económica;no pertenece a ningún pueblo indígena;mujer;543;2011;15101;;
289;arica;ayuda en la casa o quehaceres del hogar;aymara;hombre;157;2011;15101;;
290;arica;terminó estudiar;mapuche;mujer;79;2011;15101;;
291;arica;trabaja o busca trabajo;diaguita;hombre;22;2011;15101;;
292;arica;tiene una discapacidad,  necesita establecimiento especial;no pertenece a ningún pueblo indígena;mujer;21;2011;15101;;
293;arica;terminó estudiar;rapa nui (pascuense);hombre;6;2011;15101;;
294;arica;terminó estudiar;aymara;mujer;1312;2011;15101;;
295;arica;dificultad económica;mapuche;hombre;12;2011;15101;;
296;arica;terminó estudiar;quechua;mujer;29;2011;15101;;
297;arica;no existe establecimiento cercano;aymara;mujer;11;2011;15101;;
298;arica;problemas de rendimiento;aymara;mujer;32;2011;15101;;
299;arica;otra razón;coya;mujer;14;2011;15101;;
300;arica;tiene una discapacidad,  necesita establecimiento especial;aymara;mujer;37;2011;15101;;
301;arica;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;2171;2011;15101;;
302;arica;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;3494;2011;15101;;
303;arica;no le interesa;aymara;hombre;169;2011;15101;;
304;arica;trabaja o busca trabajo;aymara;hombre;1381;2011;15101;;
305;arica;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;4508;2011;15101;;
306;arica;otra razón;aymara;mujer;31;2011;15101;;
307;arica;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;hombre;85;2011;15101;;
308;arica;enfermedad que lo inhabilita;aymara;mujer;42;2011;15101;;
309;arica;enfermedad que lo inhabilita;aymara;hombre;24;2011;15101;;
310;arica;ayuda en la casa o quehaceres del hogar;mapuche;mujer;27;2011;15101;;
311;arica;dificultad económica;aymara;mujer;136;2011;15101;;
312;arica;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;1400;2011;15101;;
313;arica;a su edad no le sirve estudiar o no conoce la manera;no pertenece a ningún pueblo indígena;mujer;59;2011;15101;;
314;arica;dificultad económica;mapuche;mujer;39;2011;15101;;
315;arica;otra razón;aymara;hombre;54;2011;15101;;
316;arica;no le interesa;aymara;mujer;123;2011;15101;;
317;arica;terminó estudiar;atacameño (likán antai);hombre;13;2011;15101;;
318;arica;expulsión o cancelación de matrícula;aymara;mujer;16;2011;15101;;
