",""a"",""unlist.b."",""unlist.c."",""unlist.d."",""Freq"",""anio"",""codigo"""
"79,""Antofagasta"",""Otra razón"",""No pertenece a ningún pueblo indígena"",""Hombre"",146,""2017"",2101"
"80,""Antofagasta"",""No tiene interés en trabajar"",""No pertenece a ningún pueblo indígena"",""Hombre"",75,""2017"",2101"
"81,""Antofagasta"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",501,""2017"",2101"
"82,""Antuco"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",19,""2017"",8302"
"83,""Antuco"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",13,""2017"",8302"
"84,""Antuco"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",10,""2017"",8302"
"85,""Antuco"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",10,""2017"",8302"
"86,""Arauco"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",795,""2017"",8202"
"87,""Arauco"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",107,""2017"",8202"
"88,""Arauco"",""Quehaceres del hogar"",""Mapuche"",""Mujer"",122,""2017"",8202"
"89,""Arauco"",""Está enfermo o tiene una discapacidad"",""Mapuche"",""Mujer"",61,""2017"",8202"
"90,""Arauco"",""Estudiante"",""Quechua"",""Mujer"",33,""2017"",8202"
"91,""Arauco"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",54,""2017"",8202"
"92,""Arica"",""No tiene con quien dejar a otro familiar"",""No pertenece a ningún pueblo indígena"",""Hombre"",41,""2017"",15101"
"93,""Arica"",""No tiene interés en trabajar"",""No pertenece a ningún pueblo indígena"",""Hombre"",84,""2017"",15101"
"94,""Arica"",""Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r"",""No pertenece a ningún pueblo indígena"",""Hombre"",24,""2017"",15101"
"95,""Arica"",""Está enfermo o tiene una discapacidad"",""Aimara"",""Hombre"",43,""2017"",15101"
"96,""Arica"",""No tiene con quien dejar a otro familiar"",""Mapuche"",""Mujer"",20,""2017"",15101"
"97,""Arica"",""Busca cuando realmente lo necesita o tiene trabajo esporádic"",""No pertenece a ningún pueblo indígena"",""Mujer"",17,""2017"",15101"
"98,""Arica"",""No tiene interés en trabajar"",""Aimara"",""Hombre"",97,""2017"",15101"
"99,""Arica"",""Quehaceres del hogar"",""Aimara"",""Hombre"",26,""2017"",15101"
"100,""Arica"",""Estudiante"",""No pertenece a ningún pueblo indígena"",""Mujer"",33,""2017"",15101"
"101,""Arica"",""Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r"",""Quechua"",""Hombre"",28,""2017"",15101"
"102,""Arica"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""Aimara"",""Hombre"",74,""2017"",15101"
"103,""Arica"",""Otra razón"",""No pertenece a ningún pueblo indígena"",""Mujer"",72,""2017"",15101"
"104,""Arica"",""Quehaceres del hogar"",""Quechua"",""Mujer"",16,""2017"",15101"
"105,""Arica"",""Otra razón"",""No pertenece a ningún pueblo indígena"",""Hombre"",198,""2017"",15101"
"106,""Arica"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Hombre"",134,""2017"",15101"
"107,""Arica"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""Mapuche"",""Mujer"",16,""2017"",15101"
"108,""Arica"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Hombre"",138,""2017"",15101"
"109,""Arica"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Hombre"",63,""2017"",15101"
"110,""Arica"",""Quehaceres del hogar"",""Mapuche"",""Mujer"",41,""2017"",15101"
"111,""Arica"",""No tiene interés en trabajar"",""Aimara"",""Mujer"",129,""2017"",15101"
"112,""Arica"",""Está enfermo o tiene una discapacidad"",""Aimara"",""Mujer"",109,""2017"",15101"
"113,""Arica"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",398,""2017"",15101"
"114,""Arica"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""No pertenece a ningún pueblo indígena"",""Hombre"",12,""2017"",15101"
"115,""Arica"",""Otra razón"",""Aimara"",""Mujer"",13,""2017"",15101"
"116,""Arica"",""Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r"",""Aimara"",""Hombre"",36,""2017"",15101"
"117,""Arica"",""Jubilado(a), pensionado(a) o montepiado(a)"",""Aimara"",""Hombre"",95,""2017"",15101"
"118,""Arica"",""Jubilado(a), pensionado(a) o montepiado(a)"",""Quechua"",""Mujer"",18,""2017"",15101"
"119,""Arica"",""No tiene con quien dejar a adultos mayores"",""Aimara"",""Mujer"",104,""2017"",15101"
"120,""Arica"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",239,""2017"",15101"
"121,""Arica"",""Busca cuando realmente lo necesita o tiene trabajo esporádic"",""No pertenece a ningún pueblo indígena"",""Hombre"",18,""2017"",15101"
"122,""Arica"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""No pertenece a ningún pueblo indígena"",""Mujer"",255,""2017"",15101"
"123,""Arica"",""Ofrecen sueldos muy bajos"",""No pertenece a ningún pueblo indígena"",""Mujer"",38,""2017"",15101"
"124,""Arica"",""No tiene con quien dejar a los niños"",""Aimara"",""Mujer"",53,""2017"",15101"
"125,""Arica"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Hombre"",66,""2017"",15101"
"126,""Arica"",""Quehaceres del hogar"",""Aimara"",""Mujer"",612,""2017"",15101"
"127,""Arica"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",1087,""2017"",15101"
"128,""Arica"",""No tiene interés en trabajar"",""No pertenece a ningún pueblo indígena"",""Mujer"",356,""2017"",15101"
"129,""Arica"",""Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r"",""No pertenece a ningún pueblo indígena"",""Mujer"",115,""2017"",15101"
"130,""Arica"",""Jubilado(a), pensionado(a) o montepiado(a)"",""Aimara"",""Mujer"",194,""2017"",15101"
"131,""Arica"",""Se cansó de buscar o cree que no hay trabajo disponible"",""No pertenece a ningún pueblo indígena"",""Hombre"",26,""2017"",15101"
"132,""Arica"",""No tiene con quien dejar a otro familiar"",""No pertenece a ningún pueblo indígena"",""Mujer"",18,""2017"",15101"
"133,""Arica"",""Las reglas, horarios y distancias de los trabajos no le acom"",""No pertenece a ningún pueblo indígena"",""Mujer"",32,""2017"",15101"
"134,""Arica"",""Estudiante"",""No pertenece a ningún pueblo indígena"",""Hombre"",76,""2017"",15101"
"135,""Arica"",""No tiene con quien dejar a adultos mayores"",""No pertenece a ningún pueblo indígena"",""Mujer"",147,""2017"",15101"
"136,""Arica"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",584,""2017"",15101"
"137,""Arica"",""Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r"",""Aimara"",""Mujer"",27,""2017"",15101"
"138,""Arica"",""Ofrecen sueldos muy bajos"",""No pertenece a ningún pueblo indígena"",""Hombre"",11,""2017"",15101"
"139,""Arica"",""Jubilado(a), pensionado(a) o montepiado(a)"",""Diaguita"",""Hombre"",17,""2017"",15101"
"140,""Arica"",""Se cansó de buscar o cree que no hay trabajo disponible"",""No pertenece a ningún pueblo indígena"",""Mujer"",68,""2017"",15101"
"141,""Arica"",""Quehaceres del hogar"",""Atacameño (Likan-Antai)"",""Mujer"",20,""2017"",15101"
"142,""Aysén"",""No tiene con quien dejar a adultos mayores"",""No pertenece a ningún pueblo indígena"",""Mujer"",8,""2017"",11201"
"143,""Aysén"",""Jubilado(a), pensionado(a) o montepiado(a)"",""Mapuche"",""Mujer"",45,""2017"",11201"
"144,""Aysén"",""Quehaceres del hogar"",""Mapuche"",""Mujer"",23,""2017"",11201"
"145,""Aysén"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Hombre"",78,""2017"",11201"
"146,""Aysén"",""No tiene con quien dejar a adultos mayores"",""Mapuche"",""Mujer"",12,""2017"",11201"
"147,""Aysén"",""Busca cuando realmente lo necesita o tiene trabajo esporádic"",""No pertenece a ningún pueblo indígena"",""Mujer"",43,""2017"",11201"
"148,""Aysén"",""Estudiante"",""No pertenece a ningún pueblo indígena"",""Mujer"",24,""2017"",11201"
"149,""Aysén"",""No tiene interés en trabajar"",""No pertenece a ningún pueblo indígena"",""Hombre"",19,""2017"",11201"
"150,""Aysén"",""Otra razón"",""No pertenece a ningún pueblo indígena"",""Mujer"",23,""2017"",11201"
"151,""Aysén"",""Jubilado(a), pensionado(a) o montepiado(a)"",""Mapuche"",""Hombre"",36,""2017"",11201"
"152,""Aysén"",""No tiene con quien dejar a los niños"",""Mapuche"",""Mujer"",25,""2017"",11201"
"153,""Aysén"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",71,""2017"",11201"
"154,""Aysén"",""Las reglas, horarios y distancias de los trabajos no le acom"",""No pertenece a ningún pueblo indígena"",""Mujer"",27,""2017"",11201"
"155,""Aysén"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",45,""2017"",11201"
"156,""Aysén"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Hombre"",18,""2017"",11201"
"157,""Aysén"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Hombre"",17,""2017"",11201"
"158,""Aysén"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""Mapuche"",""Hombre"",51,""2017"",11201"
"159,""Aysén"",""Se cansó de buscar o cree que no hay trabajo disponible"",""Mapuche"",""Mujer"",24,""2017"",11201"
"160,""Aysén"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""No pertenece a ningún pueblo indígena"",""Mujer"",37,""2017"",11201"
"161,""Aysén"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",97,""2017"",11201"
"162,""Buin"",""No tiene interés en trabajar"",""No pertenece a ningún pueblo indígena"",""Mujer"",163,""2017"",13402"
"163,""Buin"",""No tiene con quien dejar a adultos mayores"",""No pertenece a ningún pueblo indígena"",""Mujer"",223,""2017"",13402"
"164,""Buin"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",138,""2017"",13402"
"165,""Buin"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",163,""2017"",13402"
"166,""Buin"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",423,""2017"",13402"
"167,""Bulnes"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Hombre"",88,""2017"",16102"
"168,""Bulnes"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",219,""2017"",16102"
"169,""Bulnes"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",234,""2017"",16102"
"170,""Bulnes"",""Otra razón"",""No pertenece a ningún pueblo indígena"",""Mujer"",58,""2017"",16102"
"171,""Bulnes"",""Se cansó de buscar o cree que no hay trabajo disponible"",""No pertenece a ningún pueblo indígena"",""Mujer"",64,""2017"",16102"
"172,""Bulnes"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Hombre"",73,""2017"",16102"
"173,""Bulnes"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",88,""2017"",16102"
"174,""Cabrero"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",172,""2017"",8303"
"175,""Cabrero"",""Se cansó de buscar o cree que no hay trabajo disponible"",""No pertenece a ningún pueblo indígena"",""Mujer"",95,""2017"",8303"
"176,""Cabrero"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Hombre"",191,""2017"",8303"
"177,""Cabrero"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",79,""2017"",8303"
"178,""Calama"",""Quehaceres del hogar"",""Quechua"",""Mujer"",77,""2017"",2201"
"179,""Calama"",""Se cansó de buscar o cree que no hay trabajo disponible"",""Atacameño (Likan-Antai)"",""Hombre"",65,""2017"",2201"
"180,""Calama"",""Quehaceres del hogar"",""Atacameño (Likan-Antai)"",""Mujer"",288,""2017"",2201"
"181,""Calama"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",187,""2017"",2201"
"182,""Calama"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",255,""2017"",2201"
"183,""Calama"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",956,""2017"",2201"
"184,""Calama"",""Quehaceres del hogar"",""Aimara"",""Mujer"",91,""2017"",2201"
"185,""Calama"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",143,""2017"",2201"
"186,""Calbuco"",""Está enfermo o tiene una discapacidad"",""Mapuche"",""Hombre"",146,""2017"",10102"
"187,""Calbuco"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",64,""2017"",10102"
"188,""Calbuco"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",464,""2017"",10102"
"189,""Calbuco"",""Otra razón"",""No pertenece a ningún pueblo indígena"",""Mujer"",146,""2017"",10102"
"190,""Calbuco"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",284,""2017"",10102"
"191,""Caldera"",""No tiene con quien dejar a adultos mayores"",""No pertenece a ningún pueblo indígena"",""Hombre"",32,""2017"",3102"
"192,""Caldera"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",42,""2017"",3102"
"193,""Caldera"",""Jubilado(a), pensionado(a) o montepiado(a)"",""Mapuche"",""Mujer"",59,""2017"",3102"
"194,""Caldera"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",66,""2017"",3102"
"195,""Caldera"",""No tiene con quien dejar a adultos mayores"",""No pertenece a ningún pueblo indígena"",""Mujer"",32,""2017"",3102"
"196,""Caldera"",""Otra razón"",""No pertenece a ningún pueblo indígena"",""Mujer"",41,""2017"",3102"
"197,""Calera"",""No tiene interés en trabajar"",""No pertenece a ningún pueblo indígena"",""Mujer"",33,""2017"",5502"
"198,""Calera"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",80,""2017"",5502"
"199,""Calera"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",141,""2017"",5502"
"200,""Calera"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",266,""2017"",5502"
"201,""Calera"",""No tiene interés en trabajar"",""No pertenece a ningún pueblo indígena"",""Hombre"",33,""2017"",5502"
"202,""Calera"",""No tiene con quien dejar a adultos mayores"",""No pertenece a ningún pueblo indígena"",""Mujer"",121,""2017"",5502"
"203,""Calera de Tango"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",186,""2017"",13403"
"204,""Calera de Tango"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",114,""2017"",13403"
"205,""Calera de Tango"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",114,""2017"",13403"
"206,""Calle Larga"",""Las reglas, horarios y distancias de los trabajos no le acom"",""No pertenece a ningún pueblo indígena"",""Mujer"",90,""2017"",5302"
"207,""Calle Larga"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",68,""2017"",5302"
"208,""Calle Larga"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",32,""2017"",5302"
"209,""Calle Larga"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",43,""2017"",5302"
"210,""Calle Larga"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""No pertenece a ningún pueblo indígena"",""Mujer"",80,""2017"",5302"
"211,""Calle Larga"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",68,""2017"",5302"
"212,""Canela"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",269,""2017"",4202"
"213,""Canela"",""Jubilado(a), pensionado(a) o montepiado(a)"",""Diaguita"",""Mujer"",20,""2017"",4202"
"214,""Canela"",""Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r"",""No pertenece a ningún pueblo indígena"",""Mujer"",13,""2017"",4202"
"215,""Canela"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",235,""2017"",4202"
