0,Comuna,Trabajo,Etnia,Sexo,Freq,anio,codigo
55,alto hospicio,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,632,2009,1107
56,alto hospicio,sí en otra época del año,mapuche,mujer,56,2009,1107
57,alto hospicio,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,1581,2009,1107
58,alto hospicio,sí ahora mismo,mapuche,hombre,45,2009,1107
59,ancud,no,no pertenece a ningún pueblo indígena,hombre,3964,2009,10202
60,ancud,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,544,2009,10202
61,ancud,no,mapuche,mujer,1255,2009,10202
62,ancud,no,no pertenece a ningún pueblo indígena,mujer,6535,2009,10202
63,ancud,no,mapuche,hombre,934,2009,10202
64,ancud,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,640,2009,10202
65,ancud,sí ahora mismo,mapuche,hombre,81,2009,10202
66,ancud,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,594,2009,10202
67,ancud,sí en otra época del año,mapuche,mujer,78,2009,10202
68,ancud,sí en otra época del año,mapuche,hombre,98,2009,10202
69,ancud,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,631,2009,10202
70,ancud,sí ahora mismo,mapuche,mujer,217,2009,10202
71,andacollo,no,diaguita,hombre,10,2009,4103
72,andacollo,no,no pertenece a ningún pueblo indígena,mujer,2042,2009,4103
73,andacollo,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,295,2009,4103
74,andacollo,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,158,2009,4103
75,andacollo,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,459,2009,4103
76,andacollo,no,no pertenece a ningún pueblo indígena,hombre,822,2009,4103
77,andacollo,no,mapuche,hombre,10,2009,4103
78,andacollo,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,240,2009,4103
79,angol,no,no pertenece a ningún pueblo indígena,hombre,6792,2009,9201
80,angol,no,no pertenece a ningún pueblo indígena,mujer,10726,2009,9201
81,angol,sí en otra época del año,mapuche,mujer,48,2009,9201
82,angol,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,1008,2009,9201
83,angol,sí ahora mismo,mapuche,mujer,336,2009,9201
84,angol,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,308,2009,9201
85,angol,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,1666,2009,9201
86,angol,no,mapuche,hombre,293,2009,9201
87,angol,sí en otra época del año,mapuche,hombre,48,2009,9201
88,angol,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,467,2009,9201
89,angol,no,mapuche,mujer,612,2009,9201
90,angol,sí ahora mismo,mapuche,hombre,168,2009,9201
91,antofagasta,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,5205,2009,2101
92,antofagasta,no,mapuche,hombre,232,2009,2101
93,antofagasta,no,atacameño,hombre,219,2009,2101
94,antofagasta,no,quechua,mujer,408,2009,2101
95,antofagasta,no,aymara,mujer,232,2009,2101
96,antofagasta,no,no pertenece a ningún pueblo indígena,hombre,33092,2009,2101
97,antofagasta,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,4892,2009,2101
98,antofagasta,no,coya,hombre,326,2009,2101
99,antofagasta,no,no pertenece a ningún pueblo indígena,mujer,79295,2009,2101
100,antofagasta,no,mapuche,mujer,436,2009,2101
101,antofagasta,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,1345,2009,2101
102,antofagasta,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,2181,2009,2101
103,antuco,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,64,2009,8302
104,antuco,no,no pertenece a ningún pueblo indígena,hombre,604,2009,8302
105,antuco,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,108,2009,8302
106,antuco,no,mapuche,mujer,10,2009,8302
107,antuco,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,57,2009,8302
108,antuco,no,no pertenece a ningún pueblo indígena,mujer,933,2009,8302
109,antuco,sí ahora mismo,mapuche,hombre,5,2009,8302
110,antuco,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,120,2009,8302
111,arauco,sí ahora mismo,mapuche,hombre,19,2009,8202
112,arauco,no,mapuche,hombre,491,2009,8202
113,arauco,no,no pertenece a ningún pueblo indígena,mujer,7564,2009,8202
114,arauco,no,no pertenece a ningún pueblo indígena,hombre,5257,2009,8202
115,arauco,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,959,2009,8202
116,arauco,no,mapuche,mujer,423,2009,8202
117,arauco,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,45,2009,8202
118,arauco,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,225,2009,8202
119,arauco,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,1126,2009,8202
120,arauco,sí ahora mismo,atacameño,mujer,26,2009,8202
121,arauco,sí ahora mismo,mapuche,mujer,80,2009,8202
122,arauco,sí en otra época del año,mapuche,hombre,80,2009,8202
123,arica,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,999,2009,15101
124,arica,no,aymara,mujer,8973,2009,15101
125,arica,no,quechua,mujer,150,2009,15101
126,arica,sí en otra época del año,aymara,hombre,134,2009,15101
127,arica,no,aymara,hombre,4647,2009,15101
128,arica,no,no pertenece a ningún pueblo indígena,mujer,32112,2009,15101
129,arica,no,mapuche,hombre,913,2009,15101
130,arica,sí ahora mismo,aymara,hombre,314,2009,15101
131,arica,sí en otra época del año,mapuche,hombre,135,2009,15101
132,arica,sí ahora mismo,mapuche,mujer,336,2009,15101
133,arica,sí ahora mismo,quechua,hombre,122,2009,15101
134,arica,sí ahora mismo,mapuche,hombre,80,2009,15101
135,arica,no,no pertenece a ningún pueblo indígena,hombre,14382,2009,15101
136,arica,sí ahora mismo,aymara,mujer,762,2009,15101
137,arica,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,817,2009,15101
138,arica,sí en otra época del año,aymara,mujer,702,2009,15101
139,arica,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,1293,2009,15101
140,arica,no,mapuche,mujer,829,2009,15101
141,arica,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,3050,2009,15101
142,arica,no,quechua,hombre,80,2009,15101
143,aysén,no,mapuche,hombre,590,2009,11201
144,aysén,no,aymara,mujer,6,2009,11201
145,aysén,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,237,2009,11201
146,aysén,no,no pertenece a ningún pueblo indígena,mujer,4381,2009,11201
147,aysén,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,33,2009,11201
148,aysén,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,274,2009,11201
149,aysén,sí ahora mismo,mapuche,mujer,169,2009,11201
150,aysén,no,mapuche,mujer,1077,2009,11201
151,aysén,no,no pertenece a ningún pueblo indígena,hombre,2263,2009,11201
152,aysén,sí en otra época del año,mapuche,mujer,27,2009,11201
153,aysén,sí ahora mismo,mapuche,hombre,21,2009,11201
154,aysén,sí en otra época del año,mapuche,hombre,54,2009,11201
155,buin,no,no pertenece a ningún pueblo indígena,mujer,15508,2009,13402
156,buin,no,no pertenece a ningún pueblo indígena,hombre,7459,2009,13402
157,buin,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,1430,2009,13402
158,buin,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,569,2009,13402
159,buin,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,283,2009,13402
160,buin,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,1424,2009,13402
161,buin,no,mapuche,hombre,135,2009,13402
162,bulnes,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,293,2009,16102
163,bulnes,no,mapuche,mujer,197,2009,16102
164,bulnes,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,336,2009,16102
165,bulnes,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,216,2009,16102
166,bulnes,no,mapuche,hombre,14,2009,16102
167,bulnes,no,no pertenece a ningún pueblo indígena,mujer,5654,2009,16102
168,bulnes,no,no pertenece a ningún pueblo indígena,hombre,2525,2009,16102
169,bulnes,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,43,2009,16102
170,cabildo,no,no pertenece a ningún pueblo indígena,hombre,2674,2009,5402
171,cabildo,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,93,2009,5402
172,cabildo,no,mapuche,hombre,16,2009,5402
173,cabildo,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,621,2009,5402
174,cabildo,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,306,2009,5402
175,cabildo,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,182,2009,5402
176,cabildo,no,no pertenece a ningún pueblo indígena,mujer,4584,2009,5402
177,cabildo,no,mapuche,mujer,176,2009,5402
178,cabildo,no,diaguita,hombre,38,2009,5402
179,cabo de hornos,no,yagán,mujer,32,2009,12201
180,cabo de hornos,no,no pertenece a ningún pueblo indígena,mujer,460,2009,12201
181,cabo de hornos,no,mapuche,mujer,22,2009,12201
182,cabo de hornos,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,6,2009,12201
183,cabo de hornos,no,yagán,hombre,14,2009,12201
184,cabo de hornos,no,no pertenece a ningún pueblo indígena,hombre,80,2009,12201
185,cabo de hornos,no,mapuche,hombre,24,2009,12201
186,cabrero,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,551,2009,8303
187,cabrero,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,845,2009,8303
188,cabrero,sí ahora mismo,mapuche,mujer,55,2009,8303
189,cabrero,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,458,2009,8303
190,cabrero,no,mapuche,mujer,55,2009,8303
191,cabrero,no,no pertenece a ningún pueblo indígena,hombre,3593,2009,8303
192,cabrero,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,626,2009,8303
193,cabrero,no,no pertenece a ningún pueblo indígena,mujer,6188,2009,8303
194,cabrero,no,mapuche,hombre,15,2009,8303
195,calama,no,coya,mujer,154,2009,2201
196,calama,no,no pertenece a ningún pueblo indígena,hombre,15400,2009,2201
197,calama,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,2220,2009,2201
198,calama,no,quechua,hombre,298,2009,2201
199,calama,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,408,2009,2201
200,calama,no,diaguita,hombre,57,2009,2201
201,calama,no,coya,hombre,154,2009,2201
202,calama,no,atacameño,hombre,2050,2009,2201
203,calama,no,mapuche,mujer,180,2009,2201
204,calama,no,atacameño,mujer,2603,2009,2201
205,calama,no,aymara,mujer,126,2009,2201
206,calama,no,mapuche,hombre,3,2009,2201
207,calama,no,quechua,mujer,860,2009,2201
208,calama,sí en otra época del año,atacameño,mujer,2,2009,2201
209,calama,sí en otra época del año,atacameño,hombre,8,2009,2201
210,calama,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,1455,2009,2201
211,calama,no,aymara,hombre,330,2009,2201
212,calama,no,no pertenece a ningún pueblo indígena,mujer,30898,2009,2201
213,calama,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,126,2009,2201
214,calama,sí ahora mismo,atacameño,mujer,23,2009,2201
215,calama,sí ahora mismo,atacameño,hombre,839,2009,2201
216,calbuco,sí en otra época del año,mapuche,mujer,572,2009,10102
217,calbuco,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,560,2009,10102
218,calbuco,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,1513,2009,10102
219,calbuco,sí ahora mismo,mapuche,mujer,113,2009,10102
220,calbuco,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,377,2009,10102
221,calbuco,no,no pertenece a ningún pueblo indígena,hombre,2393,2009,10102
222,calbuco,no,mapuche,mujer,2966,2009,10102
223,calbuco,no,mapuche,hombre,907,2009,10102
224,calbuco,sí ahora mismo,mapuche,hombre,59,2009,10102
225,calbuco,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,669,2009,10102
226,calbuco,sí en otra época del año,mapuche,hombre,54,2009,10102
227,calbuco,no,no pertenece a ningún pueblo indígena,mujer,5206,2009,10102
228,caldera,sí en otra época del año,atacameño,mujer,26,2009,3102
229,caldera,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,157,2009,3102
230,caldera,no,yagán,mujer,85,2009,3102
231,caldera,no,no pertenece a ningún pueblo indígena,mujer,3034,2009,3102
232,caldera,no,coya,mujer,30,2009,3102
233,caldera,no,mapuche,mujer,34,2009,3102
234,caldera,no,no pertenece a ningún pueblo indígena,hombre,1370,2009,3102
235,caldera,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,39,2009,3102
236,caldera,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,308,2009,3102
237,caldera,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,434,2009,3102
238,calera de tango,no,no pertenece a ningún pueblo indígena,hombre,3039,2009,13403
239,calera de tango,no,no pertenece a ningún pueblo indígena,mujer,5874,2009,13403
240,calera de tango,no,mapuche,hombre,34,2009,13403
241,calera de tango,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,115,2009,13403
242,calera de tango,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,61,2009,13403
243,calera de tango,no,mapuche,mujer,39,2009,13403
244,calera de tango,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,230,2009,13403
245,calera de tango,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,260,2009,13403
246,calle larga,no,quechua,hombre,14,2009,5302
247,calle larga,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,68,2009,5302
248,calle larga,no,no pertenece a ningún pueblo indígena,hombre,771,2009,5302
249,calle larga,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,364,2009,5302
250,calle larga,no,no pertenece a ningún pueblo indígena,mujer,2153,2009,5302
251,calle larga,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,186,2009,5302
252,calle larga,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,176,2009,5302
253,calle larga,sí en otra época del año,mapuche,mujer,10,2009,5302
254,calle larga,no,aymara,mujer,22,2009,5302
255,camarones,no,coya,mujer,3,2009,15102
256,camarones,no,no pertenece a ningún pueblo indígena,mujer,64,2009,15102
257,camarones,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,5,2009,15102
258,camarones,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,5,2009,15102
259,camarones,sí en otra época del año,aymara,mujer,5,2009,15102
260,camarones,no,aymara,mujer,266,2009,15102
261,camarones,no,aymara,hombre,190,2009,15102
262,camarones,no,mapuche,mujer,3,2009,15102
263,camarones,no,no pertenece a ningún pueblo indígena,hombre,27,2009,15102
264,camarones,no,diaguita,hombre,6,2009,15102
265,camarones,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,9,2009,15102
266,camiña,sí ahora mismo,aymara,hombre,3,2009,1402
267,camiña,no,aymara,mujer,162,2009,1402
268,camiña,no,no pertenece a ningún pueblo indígena,hombre,14,2009,1402
269,camiña,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,3,2009,1402
270,camiña,sí ahora mismo,aymara,mujer,11,2009,1402
271,camiña,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,2,2009,1402
272,camiña,no,mapuche,mujer,3,2009,1402
273,camiña,no,no pertenece a ningún pueblo indígena,mujer,42,2009,1402
274,camiña,sí en otra época del año,aymara,mujer,7,2009,1402
275,camiña,sí en otra época del año,mapuche,mujer,2,2009,1402
276,camiña,sí en otra época del año,aymara,hombre,2,2009,1402
277,camiña,no,aymara,hombre,98,2009,1402
278,canela,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,9,2009,4202
279,canela,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,29,2009,4202
280,canela,no,no pertenece a ningún pueblo indígena,hombre,1132,2009,4202
281,canela,no,no pertenece a ningún pueblo indígena,mujer,2393,2009,4202
282,canela,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,10,2009,4202
283,cañete,sí ahora mismo,mapuche,hombre,160,2009,8203
284,cañete,no,mapuche,mujer,1618,2009,8203
285,cañete,no,no pertenece a ningún pueblo indígena,mujer,6681,2009,8203
286,cañete,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,256,2009,8203
287,cañete,no,mapuche,hombre,819,2009,8203
288,cañete,sí ahora mismo,mapuche,mujer,414,2009,8203
289,cañete,no,no pertenece a ningún pueblo indígena,hombre,4443,2009,8203
290,cañete,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,362,2009,8203
291,cañete,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,1106,2009,8203
292,cañete,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,234,2009,8203
293,carahue,no,mapuche,mujer,2492,2009,9102
294,carahue,sí ahora mismo,mapuche,mujer,24,2009,9102
295,carahue,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,154,2009,9102
296,carahue,no,no pertenece a ningún pueblo indígena,hombre,2393,2009,9102
297,carahue,no,no pertenece a ningún pueblo indígena,mujer,5419,2009,9102
298,carahue,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,323,2009,9102
299,carahue,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,102,2009,9102
300,carahue,sí en otra época del año,mapuche,mujer,148,2009,9102
301,carahue,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,102,2009,9102
302,carahue,no,mapuche,hombre,920,2009,9102
303,carahue,sí ahora mismo,mapuche,hombre,72,2009,9102
304,cartagena,no,no pertenece a ningún pueblo indígena,hombre,3491,2009,5603
305,cartagena,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,399,2009,5603
306,cartagena,sí en otra época del año,mapuche,mujer,34,2009,5603
307,cartagena,no,mapuche,mujer,214,2009,5603
308,cartagena,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,574,2009,5603
309,cartagena,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,87,2009,5603
310,cartagena,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,127,2009,5603
311,cartagena,no,no pertenece a ningún pueblo indígena,mujer,6294,2009,5603
312,cartagena,no,mapuche,hombre,91,2009,5603
313,casablanca,sí en otra época del año,mapuche,hombre,35,2009,5102
314,casablanca,no,mapuche,mujer,55,2009,5102
315,casablanca,sí ahora mismo,mapuche,mujer,29,2009,5102
316,casablanca,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,566,2009,5102
317,casablanca,no,no pertenece a ningún pueblo indígena,mujer,5609,2009,5102
318,casablanca,no,no pertenece a ningún pueblo indígena,hombre,2547,2009,5102
319,casablanca,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,315,2009,5102
320,casablanca,sí en otra época del año,mapuche,mujer,35,2009,5102
321,casablanca,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,108,2009,5102
322,casablanca,no,mapuche,hombre,17,2009,5102
323,casablanca,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,36,2009,5102
324,castro,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,618,2009,10201
325,castro,sí en otra época del año,mapuche,mujer,51,2009,10201
326,castro,no,no pertenece a ningún pueblo indígena,hombre,6100,2009,10201
327,castro,sí ahora mismo,mapuche,mujer,111,2009,10201
328,castro,sí en otra época del año,mapuche,hombre,74,2009,10201
329,castro,no,no pertenece a ningún pueblo indígena,mujer,9387,2009,10201
330,castro,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,613,2009,10201
331,castro,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,865,2009,10201
332,castro,no,mapuche,hombre,842,2009,10201
333,castro,no,mapuche,mujer,1586,2009,10201
334,castro,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,435,2009,10201
335,catemu,no,no pertenece a ningún pueblo indígena,mujer,3420,2009,5702
336,catemu,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,175,2009,5702
337,catemu,no,no pertenece a ningún pueblo indígena,hombre,1825,2009,5702
338,catemu,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,421,2009,5702
339,catemu,no,mapuche,mujer,58,2009,5702
340,catemu,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,123,2009,5702
341,catemu,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,75,2009,5702
342,catemu,sí ahora mismo,mapuche,mujer,60,2009,5702
343,catemu,no,mapuche,hombre,76,2009,5702
344,cauquenes,no,no pertenece a ningún pueblo indígena,mujer,10859,2009,7201
345,cauquenes,sí ahora mismo,mapuche,mujer,51,2009,7201
346,cauquenes,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,314,2009,7201
347,cauquenes,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,481,2009,7201
348,cauquenes,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,1227,2009,7201
349,cauquenes,no,no pertenece a ningún pueblo indígena,hombre,6014,2009,7201
350,cauquenes,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,929,2009,7201
351,cauquenes,no,mapuche,mujer,144,2009,7201
352,cerrillos,no,mapuche,hombre,434,2009,13102
353,cerrillos,sí ahora mismo,mapuche,mujer,356,2009,13102
354,cerrillos,no,no pertenece a ningún pueblo indígena,mujer,11894,2009,13102
355,cerrillos,no,no pertenece a ningún pueblo indígena,hombre,6295,2009,13102
356,cerrillos,sí en otra época del año,mapuche,mujer,43,2009,13102
357,cerrillos,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,732,2009,13102
358,cerrillos,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,442,2009,13102
359,cerrillos,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,768,2009,13102
360,cerrillos,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,1241,2009,13102
361,cerrillos,no,mapuche,mujer,1368,2009,13102
362,cerrillos,no,aymara,mujer,54,2009,13102
363,cerro navia,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,1194,2009,13103
364,cerro navia,no,no pertenece a ningún pueblo indígena,hombre,15487,2009,13103
365,cerro navia,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,685,2009,13103
366,cerro navia,sí en otra época del año,mapuche,hombre,106,2009,13103
367,cerro navia,no,no pertenece a ningún pueblo indígena,mujer,30012,2009,13103
368,cerro navia,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,1722,2009,13103
369,cerro navia,sí ahora mismo,mapuche,mujer,92,2009,13103
370,cerro navia,sí ahora mismo,mapuche,hombre,75,2009,13103
371,cerro navia,sí en otra época del año,mapuche,mujer,213,2009,13103
372,cerro navia,no,mapuche,hombre,1272,2009,13103
373,cerro navia,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,968,2009,13103
374,cerro navia,no,mapuche,mujer,2493,2009,13103
375,chanco,no,no pertenece a ningún pueblo indígena,mujer,2533,2009,7202
376,chanco,no,mapuche,mujer,43,2009,7202
377,chanco,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,49,2009,7202
378,chanco,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,56,2009,7202
379,chanco,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,11,2009,7202
380,chanco,no,no pertenece a ningún pueblo indígena,hombre,1301,2009,7202
381,chañaral,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,265,2009,3201
382,chañaral,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,20,2009,3201
383,chañaral,no,no pertenece a ningún pueblo indígena,hombre,1629,2009,3201
384,chañaral,no,aymara,mujer,18,2009,3201
385,chañaral,no,mapuche,mujer,4,2009,3201
